model,path_length
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,4
ER,4
ER,4
ER,4
ER,1
ER,1
ER,1
ER,1
ER,1
ER,1
ER,1
ER,1
ER,1
ER,1
ER,1
ER,1
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,4
ER,4
ER,4
ER,4
ER,4
ER,4
ER,4
ER,4
ER,4
ER,4
ER,4
ER,1
ER,1
ER,1
ER,1
ER,1
ER,1
ER,1
ER,1
ER,1
ER,1
ER,1
ER,1
ER,1
ER,1
ER,1
ER,1
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,4
ER,1
ER,1
ER,1
ER,1
ER,1
ER,1
ER,1
ER,1
ER,1
ER,1
ER,1
ER,1
ER,1
ER,1
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,4
ER,4
ER,4
ER,1
ER,1
ER,1
ER,1
ER,1
ER,1
ER,1
ER,1
ER,1
ER,1
ER,1
ER,1
ER,1
ER,1
ER,1
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,4
ER,4
ER,4
ER,1
ER,1
ER,1
ER,1
ER,1
ER,1
ER,1
ER,1
ER,1
ER,1
ER,1
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,3
ER,4
ER,4
ER,4
ER,4
ER,4
ER,4
ER,4
ER,4
ER,4
ER,1
ER,1
ER,1
ER,1
ER,1
ER,1
ER,1
ER,1
ER,1
ER,1
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
ER,2
